       Train Prediction  Actual Value
1138          18.015089            17
1139          16.932850            17
1140          16.834488            17
1141          16.800610            17
1142          16.866419            16
1143          15.864685            15
1144          14.680247            14
1145          13.525239            14
1146          13.438975            13
1147          12.614120            13
1148          12.584457            13
1149          12.711233            12
1150          11.775450            12
1151          11.648518            12
1152          11.704492            11
1153          10.765414            11
1154          10.640241            10
1155           9.639884            11
1156          10.621932            10
1157           9.875383            10
1158           9.754738            10
1159           9.777667            10
1160           9.823978            10
1161           9.909410            10
1162           9.909410            11
1163          11.024540            11
1164          11.211787            11
1165          11.134084            10
1166           9.901548            10
1167           9.637238            10
1168           9.698410            10
1169           9.823978            10
1170           9.909410            10
1171           9.909410            10
1172           9.909410            11
1173          11.024540            12
1174          12.366948            12
1175          12.455276            13
1176          13.372621            13
1177          13.318725            14
1178          14.297628            14
1179          14.323092            14
1180          14.171552            15
1181          15.147649            15
1182          15.235639            15
1183          15.174437            16
